Timestamp	Process	TID	Area	Category	EventID	Level	Message	Correlation
07/27/2021 22:09:32.305	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	WebServiceApi	ibv02	Monitorable	[ConfigService] GetConfigToken {"Message":"GetConfigToken failed to populate config service."}	
07/27/2021 22:09:32.368	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	WebServiceApi	a9ief	Monitorable	[ConfigService] GetService {"Message":"ServiceStatus failed","RequestStatus":64}	
07/27/2021 22:09:32.368	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.GetBlockingService","Flags":28147523457712385,"InternalSequenceNumber":49,"Time":"2021-07-27T22:09:32.368Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.6.1","Activity.Duration":63278,"Activity.Count":1,"Activity.AggMode":2,"Activity.Success":false,"Activity.Result.Code":-2147467259,"Activity.Result.Type":"HRESULT","Activity.Result.Tag":593892291,"Activity.AggInterval":1,"Data.ServiceMapPopulatedStatus":0,"Data.ServiceStatus":64}	
07/27/2021 22:09:32.368	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	WebServiceApi	ibv02	Monitorable	[ConfigService] GetConfigToken {"Message":"GetConfigToken failed to populate config service."}	
07/27/2021 22:09:32.383	WINWORD (0x2AB8)	0x2A38	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Graphics.KeyboardDetachEvent","Flags":28147506277843201,"InternalSequenceNumber":50,"Time":"2021-07-27T22:09:32.383Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.1.15","Activity.Duration":22,"Activity.Count":1,"Activity.AggMode":0,"Activity.Success":true,"Data.HardwarePointerMode":1}	
07/27/2021 22:09:32.430	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	WebServiceApi	a9ief	Monitorable	[ConfigService] GetService {"Message":"ServiceStatus failed","RequestStatus":64}	
07/27/2021 22:09:32.430	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.GetBlockingService","Flags":28147523457712385,"InternalSequenceNumber":51,"Time":"2021-07-27T22:09:32.430Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.6.1","Activity.Duration":48568,"Activity.Count":1,"Activity.AggMode":2,"Activity.Success":false,"Activity.Result.Code":-2147467259,"Activity.Result.Type":"HRESULT","Activity.Result.Tag":593892291,"Activity.AggInterval":1,"Data.ServiceMapPopulatedStatus":0,"Data.ServiceStatus":64}	
07/27/2021 22:09:32.430	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	WebServiceApi	ibv02	Monitorable	[ConfigService] GetConfigToken {"Message":"GetConfigToken failed to populate config service."}	
07/27/2021 22:09:32.430	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	WebServiceApi	a9ief	Monitorable	[ConfigService] GetService {"Message":"ServiceStatus failed","RequestStatus":64}	
07/27/2021 22:09:32.430	WINWORD (0x2AB8)	0x2E3C	Microsoft Word	Telemetry Event	b7vzq	Medium	SendEvent {"EventName":"Office.Identity.GetBlockingService","Flags":28147523457712385,"InternalSequenceNumber":52,"Time":"2021-07-27T22:09:32.430Z","Contract":"Office.System.Activity","Activity.CV":"Zq4AmgBsKkuiO5cCh4cvoQ.6.1","Activity.Duration":13139,"Activity.Count":1,"Activity.AggMode":2,"Activity.Success":false,"Activity.Result.Code":-2147467259,"Activity.Result.Type":"HRESULT","Activity.Result.Tag":593892291,"Activity.AggInterval":1,"Data.ServiceMapPopulatedStatus":0,"Data.ServiceStatus":64}	
